,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
1563,ROLTA,ROLTA,INE293A01013,Listed,01-Mar-1995,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
1564,ROML,ROML,INE294G01026,Listed,06-Oct-2020,Edible Oil,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1565,ROSSARI,ROSSARI,INE02A801020,Listed,23-Jul-2020,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1566,ROSSELLIND,ROSSELLIND,INE847C01020,Listed,25-Sep-2012,Aerospace & Defense,NIFTY FMCG                                        ,Industrials,Capital Goods,Aerospace & Defense
1567,ROTO,ROTO,INE535D01029,Listed,21-Apr-2022,Compressors & Pumps,NA,Industrials,Capital Goods,Industrial Products
1568,ROUTE,ROUTE,INE450U01017,Listed,21-Sep-2020,Other Telecom Services,NA,Telecommunication,Telecommunication,Telecom - Services
1569,RPGLIFE,RPGLIFE,INE105J01010,Listed,10-Jun-2008,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1570,RPOWER,RPOWER,INE614G01033,Listed,11-Feb-2008,Electric Utilities,NIFTY INFRASTRUCTURE                              ,Utilities,Power,Power
1571,RPPINFRA,RPPINFRA,INE324L01013,Listed,06-Dec-2010,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1572,RPPL,RPPL,INE760W01015,Listed,26-Nov-2021,Packaging,NA,Industrials,Capital Goods,Industrial Products
1573,RPSGVENT,RPSGVENT,INE425Y01011,Listed,25-Jan-2019,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),NA,Services,Services,Commercial Services & Supplies
1574,RSSOFTWARE,RSSOFTWARE,INE165B01029,Listed,19-May-1999,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1575,RSWM,RSWM,INE611A01016,Listed,15-Feb-1995,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1576,RSYSTEMS,RSYSTEMS,INE411H01032,Listed,26-Apr-2006,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
1577,RTNINDIA,RTNINDIA,INE834M01019,Listed,30-Jul-2012,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
1578,RTNPOWER,RTNPOWER,INE399K01017,Listed,30-Oct-2009,Electric Utilities,NIFTY INFRASTRUCTURE                              ,Utilities,Power,Power
1579,RUBYMILLS,RUBYMILLS,INE301D01026,Listed,29-Mar-1995,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1580,RUCHINFRA,RUCHINFRA,INE413B01023,Listed,12-Jul-2000,Diversified Commercial Services,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
1581,RUCHIRA,RUCHIRA,INE803H01014,Listed,20-Dec-2006,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
1582,RUPA,RUPA,INE895B01021,Listed,07-Dec-2011,Garments & Apparels,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1583,RUSHIL,RUSHIL,INE573K01017,Listed,07-Jul-2011,Plywood Boards/ Laminates,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1584,RVHL,RVHL,INE09E501017,Listed,18-Dec-2020,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
1585,RVNL,RVNL,INE415G01027,Listed,11-Apr-2019,Engineering Designing & Construction,NA,Industrials,Construction,Construction
1586,S&SPOWER,,,,,,,,,
1587,SABAR,SABAR,INE0DZ101013,Listed,21-Sep-2022,Packaging,NA,Industrials,Capital Goods,Industrial Products
1588,SABEVENTS,SABEVENTS,INE860T01019,Listed,15-Sep-2016,Electronic Media,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Media
1589,SADBHAV,SADBHAV,INE226H01026,Listed,01-Mar-2006,Engineering Designing & Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1590,SADBHIN,SADBHIN,INE764L01010,Listed,16-Sep-2015,Engineering Designing & Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
1591,SAFARI,SAFARI,INE429E01023,Listed,12-Sep-2019,Plastic Products - Consumer,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
1592,SAGARDEEP,SAGARDEEP,INE976T01013,Listed,25-Jan-2019,Aluminium Copper & Zinc Products,NIFTY METAL,Industrials,Capital Goods,Industrial Products
1593,SAGCEM,SAGCEM,INE229C01021,Listed,29-Jan-2007,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
1594,SAIL,SAIL,INE114A01011,Listed,06-Jul-1995,Iron & Steel,NIFTY METAL                                       ,Commodities,Metals & Mining,Ferrous Metals
1595,SAKAR,SAKAR,INE732S01012,Listed,11-Apr-2019,Pharmaceuticals,NA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1596,SAKHTISUG,SAKHTISUG,INE623A01011,Listed,06-Sep-1995,Sugar,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1597,SAKSOFT,SAKSOFT,INE667G01023,Listed,09-May-2005,Computers - Software & Consulting,NIFTY IT                                          ,Information Technology,Information Technology,IT - Software
1598,SAKUMA,SAKUMA,INE190H01024,Listed,08-Mar-2006,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
1599,SALASAR,SALASAR,INE170V01027,Listed,25-Jul-2017,Engineering & Construction products,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Manufacturing
1600,SALONA,SALONA,INE498E01010,Listed,16-Jun-2016,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1601,SALSTEEL,SALSTEEL,INE658G01014,Listed,24-Nov-2004,Sponge Iron,NIFTY METAL                                       ,Commodities,Metals & Mining,Ferrous Metals
1602,SALZERELEC,SALZERELEC,INE457F01013,Listed,02-Dec-2015,Other Electrical Equipment,NIFTY 500                                         ,Industrials,Capital Goods,Electrical Equipment
1603,SAMBHAAV,SAMBHAAV,INE699B01027,Listed,21-Mar-2001,Print Media,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Media
1604,SANCO,SANCO,INE782L01012,Listed,22-Nov-2016,Plastic Products - Industrial,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1605,SANDESH,SANDESH,INE583B01015,Listed,26-Nov-2002,Print Media,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Media
1606,SANDHAR,SANDHAR,INE278H01035,Listed,02-Apr-2018,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1607,SANGAMIND,SANGAMIND,INE495C01010,Listed,17-Jul-1996,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1608,SANGHIIND,SANGHIIND,INE999B01013,Listed,11-Oct-2000,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
1609,SANGHVIMOV,SANGHVIMOV,INE989A01024,Listed,24-Jan-2007,Construction Vehicles,NIFTY 500                                         ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
1610,SANGINITA,SANGINITA,INE753W01010,Listed,15-Jul-2019,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
1611,SANOFI,SANOFI,INE058A01010,Listed,19-May-2003,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1612,SANSERA,SANSERA,INE953O01021,Listed,24-Sep-2021,Auto Components & Equipments,NA,Consumer Discretionary,Automobile and Auto Components,Auto Components
1613,SANWARIA,SANWARIA,INE890C01046,Listed,27-Mar-2006,Other Food Products,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products
1614,SAPPHIRE,SAPPHIRE,INE806T01012,Listed,18-Nov-2021,Restaurants,NA,Consumer Discretionary,Consumer Services,Leisure Services
1615,SARDAEN,SARDAEN,INE385C01013,Listed,03-Dec-2009,Iron & Steel,NIFTY METAL                                       ,Commodities,Metals & Mining,Ferrous Metals
1616,SAREGAMA,SAREGAMA,INE979A01025,Listed,30-Jul-1997,Media & Entertainment,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Entertainment
1617,SARLAPOLY,SARLAPOLY,INE453D01025,Listed,19-Jan-2007,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1618,SARVESHWAR,SARVESHWAR,INE324X01018,Listed,15-Mar-2018,Other Agricultural Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1619,SASKEN,SASKEN,INE231F01020,Listed,09-Sep-2005,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
1620,SASTASUNDR,SASTASUNDR,INE019J01013,Listed,05-Oct-2010,Healthcare Service Provider,NIFTY FINANCIAL SERVICES                          ,Healthcare,Healthcare,Healthcare Services
1621,SATIA,SATIA,INE170E01023,Listed,17-Jul-2019,Paper & Paper Products,NA,Commodities,Forest Materials,Paper Forest & Jute Products
1622,SATIN,SATIN,INE836B01017,Listed,26-Aug-2015,Non Banking Financial Company (NBFC),NIFTY 500                                         ,Financial Services,Financial Services,Finance
1623,SBC,SBC,INE04AK01028,Listed,23-Nov-2021,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
1624,SBCL,SBCL,INE386D01027,Listed,24-Jun-2021,Iron & Steel Products,NA,Industrials,Capital Goods,Industrial Products
1625,SBICARD,SBICARD,INE018E01016,Listed,16-Mar-2020,Non Banking Financial Company (NBFC),NA,Financial Services,Financial Services,Finance
1626,SBIETFCON,SBIETFCON,INF200KA1X17,Listed,29-Jul-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1627,SBIETFIT,SBIETFIT,INF200KA1S14,Listed,22-Oct-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1628,SBIETFPB,SBIETFPB,INF200KA1S22,Listed,22-Oct-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1629,SBIETFQLTY,SBIETFQLTY,INF200KA1WX6,Listed,17-Dec-2018,NA,NA,,,
1630,SBILIFE,SBILIFE,INE123W01016,Listed,03-Oct-2017,Life Insurance,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Insurance
1631,SBIN,SBIN,INE062A01020,Listed,01-Mar-1995,Public Sector Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
1632,SCAPDVR,SCAPDVR,INE224E01036,Listed,10-Oct-2017,Stockbroking & Allied,NIFTY FINANCIAL SERVICES,Financial Services,Financial Services,Capital Markets
1633,SCHAEFFLER,SCHAEFFLER,INE513A01022,Listed,29-Nov-2000,Auto Components & Equipments,NIFTY INFRASTRUCTURE                              ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1634,SCHAND,SCHAND,INE807K01035,Listed,09-May-2017,Printing & Publication,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Printing & Publication
1635,SCHNEIDER,SCHNEIDER,INE839M01018,Listed,20-Mar-2012,Heavy Electrical Equipment,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Electrical Equipment
1636,SCI,SCI,INE109A01011,Listed,13-Aug-1997,Shipping,NIFTY 500                                         ,Services,Services,Transport Services
1637,SDBL,SDBL,INE480C01020,Listed,18-Mar-2014,Breweries & Distilleries,NIFTY 500                                         ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Beverages
1638,SDL24BEES,SDL24BEES,INF204KB18W4,Listed,18-Nov-2020,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1639,SDL26BEES,SDL26BEES,INF204KC1022,Listed,31-Mar-2021,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1640,SEAMECLTD,SEAMECLTD,INE497B01018,Listed,28-Jun-1995,Shipping,NIFTY SERVICES SECTOR                             ,Services,Services,Transport Services
1641,SECL,SECL,INE00Y701018,Listed,12-Sep-2019,Civil Construction,NA,Industrials,Construction,Construction
1642,SECURCRED,SECURCRED,INE195Y01010,Listed,17-Oct-2022,Diversified Commercial Services,NA,Services,Services,Commercial Services & Supplies
1643,SECURKLOUD,SECURKLOUD,INE650K01021,Listed,29-Jan-2014,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
1644,SELAN,SELAN,INE818A01017,Listed,26-Sep-2006,Oil Exploration & Production,NIFTY 500                                         ,Energy,Oil Gas & Consumable Fuels,Oil
1645,SEPC,SEPC,INE964H01014,Listed,20-Feb-2008,Engineering Designing & Construction,NA,Industrials,Construction,Construction
1646,SEPOWER,SEPOWER,INE735M01018,Listed,27-Jul-2012,Rubber,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Products
1647,SEQUENT,SEQUENT,INE807F01027,Listed,10-Mar-2016,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1648,SERVOTECH,SERVOTECH,INE782X01017,Listed,02-Sep-2021,Other Electrical Equipment,NA,Industrials,Capital Goods,Electrical Equipment
1649,SESHAPAPER,SESHAPAPER,INE630A01024,Listed,29-Mar-1995,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
1650,SETCO,SETCO,INE878E01021,Listed,01-Jul-2016,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1651,SETF10GILT,SETF10GILT,INF200KA1JT1,Listed,17-Jun-2016,NA,NA,,,
1652,SETFGOLD,SETFGOLD,INF200KA16D8,Listed,28-May-2009,NA,NA,,,
1653,SETFNIF50,SETFNIF50,INF200KA1FS1,Listed,27-Jul-2015,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1654,SETFNIFBK,SETFNIFBK,INF200KA1580,Listed,25-Mar-2015,NA,NA,,,
1655,SETFNN50,SETFNN50,INF200KA1598,Listed,25-Mar-2015,NA,NA,,,
1656,SETUINFRA,SETUINFRA,INE023M01027,Listed,04-Oct-2011,Civil Construction,NA,Industrials,Construction,Construction
1657,SFL,SFL,INE916U01025,Listed,09-Dec-2016,Furniture Home Furnishing Flooring,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1658,SGBAPR28I,SGBAPR28I,IN0020200062,Listed,13-May-2020,NA,NA,,,
1659,SGBAUG24,SGBAUG24,IN0020160027,Listed,01-Sep-2016,NA,NA,,,
1660,SGBAUG27,SGBAUG27,IN0020190107,Listed,23-Aug-2019,NA,NA,,,
1661,SGBAUG28V,SGBAUG28V,IN0020200161,Listed,21-Aug-2020,NA,NA,,,
1662,SGBAUG29V,SGBAUG29V,IN0020210129,Listed,24-Aug-2021,NA,NA,,,
1663,SGBAUG30,SGBAUG30,IN0020220078,Listed,27-Sep-2022,NA,NA,,,
1664,SGBD29VIII,SGBD29VIII,IN0020210228,Listed,13-Dec-2021,NA,NA,,,
1665,SGBDEC2513,SGBDEC2513,IN0020170158,Listed,01-Jan-2018,NA,NA,,,
1666,SGBDEC25XI,SGBDEC25XI,IN0020170133,Listed,15-Dec-2017,NA,NA,,,
1667,SGBFEB24,SGBFEB24,IN0020150101,Listed,29-Aug-2016,NA,NA,,,
1668,SGBFEB28IX,SGBFEB28IX,IN0020190545,Listed,17-Feb-2020,NA,NA,,,
1669,SGBFEB29XI,SGBFEB29XI,IN0020200393,Listed,16-Feb-2021,NA,NA,,,
1670,SGBJ28VIII,SGBJ28VIII,IN0020190537,Listed,27-Jan-2020,NA,NA,,,
1671,SGBJAN26,SGBJAN26,IN0020170166,Listed,08-Jan-2018,NA,NA,,,
1672,SGBJAN29IX,SGBJAN29IX,IN0020200377,Listed,15-Jan-2021,NA,NA,,,
1673,SGBJAN29X,SGBJAN29X,IN0020200385,Listed,27-Jan-2021,NA,NA,,,
1674,SGBJAN30IX,SGBJAN30IX,IN0020210236,Listed,25-Jan-2022,NA,NA,,,
1675,SGBJU29III,SGBJU29III,IN0020210087,Listed,14-Jun-2021,NA,NA,,,
1676,SGBJUL25,SGBJUL25,IN0020170034,Listed,08-Aug-2017,NA,NA,,,
1677,SGBJUL28IV,SGBJUL28IV,IN0020200146,Listed,28-Jul-2020,NA,NA,,,
1678,SGBJUL29IV,SGBJUL29IV,IN0020210111,Listed,27-Jul-2021,NA,NA,,,
1679,SGBJUN27,SGBJUN27,IN0020190073,Listed,18-Jun-2019,NA,NA,,,
1680,SGBJUN28,SGBJUN28,IN0020200104,Listed,24-Jun-2020,NA,NA,,,
1681,SGBJUN29II,SGBJUN29II,IN0020210061,Listed,07-Jun-2021,NA,NA,,,
1682,SGBJUN30,SGBJUN30,IN0020220045,Listed,07-Jul-2022,NA,NA,,,
1683,SGBMAR24,SGBMAR24,IN0020150119,Listed,29-Aug-2016,NA,NA,,,
1684,SGBMAR25,SGBMAR25,IN0020160126,Listed,13-Apr-2017,NA,NA,,,
1685,SGBMAR28X,SGBMAR28X,IN0020190552,Listed,25-Mar-2020,NA,NA,,,
1686,SGBMAR30X,SGBMAR30X,IN0020210319,Listed,14-Mar-2022,NA,NA,,,
1687,SGBMAY25,SGBMAY25,IN0020170018,Listed,02-Jun-2017,NA,NA,,,
1688,SGBMAY28,SGBMAY28,IN0020200088,Listed,27-May-2020,NA,NA,,,
1689,SGBMAY29I,SGBMAY29I,IN0020210053,Listed,04-Jun-2021,NA,NA,,,
1690,SGBMR29XII,SGBMR29XII,IN0020200427,Listed,19-Mar-2021,NA,NA,,,
1691,SGBN28VIII,SGBN28VIII,IN0020200286,Listed,02-Dec-2020,NA,NA,,,
1692,SGBNOV23,SGBNOV23,IN0020150085,Listed,13-Jun-2016,NA,NA,,,
1693,SGBNOV24,SGBNOV24,IN0020160076,Listed,09-Dec-2016,NA,NA,,,
1694,SGBNOV258,SGBNOV258,IN0020170109,Listed,24-Nov-2017,NA,NA,,,
1695,SGBNOV25IX,SGBNOV25IX,IN0020170117,Listed,30-Nov-2017,NA,NA,,,
1696,SGBNOV25VI,SGBNOV25VI,IN0020170083,Listed,14-Nov-2017,NA,NA,,,
1697,SGBNV29VII,SGBNV29VII,IN0020210178,Listed,10-Nov-2021,NA,NA,,,
1698,SGBOC28VII,SGBOC28VII,IN0020200203,Listed,29-Oct-2020,NA,NA,,,
1699,SGBOCT25,SGBOCT25,IN0020170059,Listed,30-Oct-2017,NA,NA,,,
1700,SGBOCT25IV,SGBOCT25IV,IN0020170067,Listed,30-Oct-2017,NA,NA,,,
1701,SGBOCT27,SGBOCT27,IN0020190370,Listed,25-Oct-2019,NA,NA,,,
1702,SGBOCT27VI,SGBOCT27VI,IN0020190388,Listed,06-Nov-2019,NA,NA,,,
1703,SGBSEP24,SGBSEP24,IN0020160043,Listed,19-Oct-2016,NA,NA,,,
1704,SGBSEP27,SGBSEP27,IN0020190115,Listed,23-Sep-2019,NA,NA,,,
1705,SGBSEP28VI,SGBSEP28VI,IN0020200195,Listed,23-Sep-2020,NA,NA,,,
1706,SGBSEP29VI,SGBSEP29VI,IN0020210145,Listed,14-Sep-2021,NA,NA,,,
1707,SGIL,SGIL,INE00QT01015,Listed,28-Jul-2021,Castings & Forgings,NA,Industrials,Capital Goods,Industrial Products
1708,SGL,SGL,INE353H01010,Listed,10-Apr-2006,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1709,SHAHALLOYS,SHAHALLOYS,INE640C01011,Listed,16-Jun-2005,Iron & Steel Products,NIFTY METAL                                       ,Industrials,Capital Goods,Industrial Products
1710,SHAILY,SHAILY,INE151G01010,Listed,04-Apr-2022,Plastic Products - Industrial,NA,Industrials,Capital Goods,Industrial Products
1711,SHAKTIPUMP,SHAKTIPUMP,INE908D01010,Listed,29-Jan-2015,Compressors & Pumps,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1712,SHALBY,SHALBY,INE597J01018,Listed,15-Dec-2017,Hospital,NIFTY PHARMA                                      ,Healthcare,Healthcare,Healthcare Services
1713,SHALPAINTS,SHALPAINTS,INE849C01026,Listed,03-Mar-2008,Paints,NIFTY 500                                         ,Consumer Discretionary,Consumer Durables,Consumer Durables
1714,SHANKARA,SHANKARA,INE274V01019,Listed,05-Apr-2017,Speciality Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
1715,SHANTI,SHANTI,INE933X01016,Listed,16-Sep-2021,Other Agricultural Products,NA,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1716,SHANTIGEAR,SHANTIGEAR,INE631A01022,Listed,17-Jan-1996,Industrial Equipments,NIFTY AUTO                                        ,Industrials,Capital Goods,Industrial Manufacturing
1717,SHARDACROP,SHARDACROP,INE221J01015,Listed,23-Sep-2014,Pesticides & Agrochemicals,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
1718,SHARDAMOTR,SHARDAMOTR,INE597I01028,Listed,03-Sep-2015,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1719,SHAREINDIA,SHAREINDIA,INE932X01018,Listed,21-Sep-2020,Stockbroking & Allied,NA,Financial Services,Financial Services,Capital Markets
1720,SHARIABEES,SHARIABEES,INF732E01128,Listed,01-Apr-2009,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1721,SHEMAROO,SHEMAROO,INE363M01019,Listed,01-Oct-2014,Media & Entertainment,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Entertainment
1722,SHIGAN,SHIGAN,INE03KJ01013,Listed,11-Mar-2022,Auto Components & Equipments,NA,Consumer Discretionary,Automobile and Auto Components,Auto Components
1723,SHILPAMED,SHILPAMED,INE790G01031,Listed,03-Dec-2009,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1724,SHIVALIK,SHIVALIK,INE788J01021,Listed,09-Dec-2021,Pesticides & Agrochemicals,NA,Commodities,Chemicals,Fertilizers & Agrochemicals
1725,SHIVAMAUTO,SHIVAMAUTO,INE637H01024,Listed,21-Nov-2006,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1726,SHIVAMILLS,SHIVAMILLS,INE644Y01017,Listed,26-Feb-2018,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1727,SHIVATEX,SHIVATEX,INE705C01020,Listed,26-Dec-2017,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1728,SHK,SHK,INE500L01026,Listed,16-Nov-2015,Personal Care,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products
1729,SHOPERSTOP,SHOPERSTOP,INE498B01024,Listed,23-May-2005,Diversified Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
1730,SHRADHA,SHRADHA,INE715Y01015,Listed,22-Oct-2020,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
1731,SHREDIGCEM,SHREDIGCEM,INE232A01011,Listed,28-Jan-2020,Cement & Cement Products,NA,Commodities,Construction Materials,Cement & Cement Products
1732,SHREECEM,SHREECEM,INE070A01015,Listed,26-Apr-1995,Cement & Cement Products,NIFTY COMMODITIES                                 ,Commodities,Construction Materials,Cement & Cement Products
1733,SHREEPUSHK,SHREEPUSHK,INE712K01011,Listed,10-Sep-2015,Dyes And Pigments,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
1734,SHREERAMA,SHREERAMA,INE879A01019,Listed,13-Mar-2000,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
1735,SHRENIK,SHRENIK,INE632X01030,Listed,02-Aug-2019,Paper & Paper Products,NA,Commodities,Forest Materials,Paper Forest & Jute Products
1736,SHREYANIND,SHREYANIND,INE231C01019,Listed,06-Nov-1996,Paper & Paper Products,NIFTY 500                                         ,Commodities,Forest Materials,Paper Forest & Jute Products
1737,SHREYAS,SHREYAS,INE757B01015,Listed,01-Mar-1995,Shipping,NIFTY 500                                         ,Services,Services,Transport Services
1738,SHRIPISTON,SHRIPISTON,INE526E01018,Listed,02-Jun-2016,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
1739,SHRIRAMCIT,SHRIRAMCIT,INE722A01011,Listed,04-Apr-2005,Non Banking Financial Company (NBFC),NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1740,SHRIRAMPPS,SHRIRAMPPS,INE217L01019,Listed,20-Dec-2021,Residential Commercial Projects,NA,Consumer Discretionary,Realty,Realty
1741,SHUBHLAXMI,SHUBHLAXMI,INE01Z401013,Listed,04-Dec-2018,Gems Jewellery And Watches,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
1742,SHYAMCENT,SHYAMCENT,INE979R01011,Listed,28-Jul-2015,Ferro & Silica Manganese,NIFTY 500                                         ,Commodities,Metals & Mining,Ferrous Metals
1743,SHYAMMETL,SHYAMMETL,INE810G01011,Listed,24-Jun-2021,Iron & Steel,NA,Commodities,Metals & Mining,Ferrous Metals
1744,SHYAMTEL,SHYAMTEL,INE635A01023,Listed,06-Nov-2006,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
1745,SIEMENS,SIEMENS,INE003A01024,Listed,06-Sep-1995,Heavy Electrical Equipment,NIFTY 500                                         ,Industrials,Capital Goods,Electrical Equipment
1746,SIGACHI,SIGACHI,INE0D0K01014,Listed,15-Nov-2021,Pharmaceuticals,NA,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
1747,SIGIND,SIGIND,INE529F01035,Listed,29-Aug-2018,Trading & Distributors,NIFTY 500                                         ,Services,Services,Commercial Services & Supplies
1748,SIKKO,SIKKO,INE112X01017,Listed,22-Oct-2021,Pesticides & Agrochemicals,NA,Commodities,Chemicals,Fertilizers & Agrochemicals
1749,SIL,SIL,INE173A01025,Listed,27-Jan-2004,Trading - Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
1750,SILGO,SILGO,INE01II01013,Listed,03-Mar-2021,Gems Jewellery And Watches,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
1751,SILINV,SILINV,INE923A01015,Listed,22-May-1996,Investment Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
1752,SILLYMONKS,SILLYMONKS,INE203Y01012,Listed,08-Jul-2020,Media & Entertainment,NA,Consumer Discretionary,Media Entertainment & Publication,Entertainment
1753,SILVER,SILVER,INF209KB19F6,Listed,03-Feb-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1754,SILVERBEES,SILVERBEES,INF204KC1402,Listed,07-Feb-2022,Mutual Fund Scheme,NA,Financial Services,Financial Services,Capital Markets
1755,SILVERTUC,SILVERTUC,INE625X01018,Listed,12-May-2022,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
1756,SIMBHALS,SIMBHALS,INE748T01016,Listed,14-Mar-2016,Sugar,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products
1757,SIMPLEXINF,SIMPLEXINF,INE059B01024,Listed,09-Mar-2004,Civil Construction,NIFTY INFRASTRUCTURE                              ,Industrials,Construction,Construction
