,Given Stock,Symbol,ISIN,Status,Date of Listing,Basic Industry,Sectoral Index,Macro-Economic Sector,Sector,Industry
513,EPL,EPL,INE255A01020,Listed,11-Feb-2002,Packaging,NA,Industrials,Capital Goods,Industrial Products
514,EQUITAS,EQUITAS,INE988K01017,Listed,21-Apr-2016,Investment Company,NIFTY FINANCIAL SERVICES                          ,Financial Services,Financial Services,Finance
515,EQUITASBNK,EQUITASBNK,INE063P01018,Listed,02-Nov-2020,Other Bank,NA,Financial Services,Financial Services,Banks
516,ERFLNCDI,ERFLNCDI,INE528S07094,Listed,26-Mar-2018,NA,NA,,,
517,ERIS,ERIS,INE406M01024,Listed,29-Jun-2017,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
518,EROSMEDIA,EROSMEDIA,INE416L01017,Listed,06-Oct-2010,Film Production Distribution & Exhibition,NIFTY MEDIA                                       ,Consumer Discretionary,Media Entertainment & Publication,Entertainment
519,ESABINDIA,ESABINDIA,INE284A01012,Listed,01-Nov-1995,Other Industrial Products,NIFTY INFRASTRUCTURE                              ,Industrials,Capital Goods,Industrial Products
520,ESCORTS,ESCORTS,INE042A01014,Listed,01-Mar-1995,Tractors,NIFTY 500                                         ,Industrials,Capital Goods,Agricultural Commercial & Construction Vehicles
521,ESSARSHPNG,ESSARSHPNG,INE122M01019,Listed,15-Nov-2011,Shipping,NIFTY 500                                         ,Services,Services,Transport Services
522,ESSENTIA,ESSENTIA,INE418N01035,Listed,20-Aug-2013,Garments & Apparels,NA,Consumer Discretionary,Textiles,Textiles & Apparels
523,ESTER,ESTER,INE778B01029,Listed,20-Jun-2011,Packaging,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
524,ETHOSLTD,ETHOSLTD,INE04TZ01018,Listed,30-May-2022,Gems Jewellery And Watches,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
525,EUROBOND,EUROBOND,INE505V01016,Listed,24-Dec-2021,Aluminium,NA,Commodities,Metals & Mining,Non - Ferrous Metals
526,EUROTEXIND,EUROTEXIND,INE022C01012,Listed,31-Jan-1996,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
527,EVEREADY,EVEREADY,INE128A01029,Listed,27-Apr-2005,Batteries,NIFTY FMCG                                        ,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products
528,EVERESTIND,EVERESTIND,INE295A01018,Listed,29-Mar-1995,Cement & Cement Products,NIFTY 500                                         ,Commodities,Construction Materials,Cement & Cement Products
529,EXCEL,EXCEL,INE688J01023,Listed,03-Aug-2009,Trading & Distributors,NIFTY IT                                          ,Services,Services,Commercial Services & Supplies
530,EXCELINDUS,EXCELINDUS,INE369A01029,Listed,16-Jun-2004,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
531,EXIDEIND,EXIDEIND,INE302A01020,Listed,17-Jun-2003,Batteries - Automobile,NIFTY 500                                         ,Consumer Discretionary,Automobile and Auto Components,Auto Components
532,EXPLEOSOL,EXPLEOSOL,INE201K01015,Listed,26-Oct-2009,IT Enabled Services,NA,Information Technology,Information Technology,IT - Services
533,EXXARO,EXXARO,INE0GFE01018,Listed,16-Aug-2021,Furniture Home Furnishing Flooring,NA,Consumer Discretionary,Consumer Durables,Consumer Durables
534,FACT,FACT,INE188A01015,Listed,12-Apr-1995,Fertilizers,NIFTY 500                                         ,Commodities,Chemicals,Fertilizers & Agrochemicals
535,FAIRCHEMOR,FAIRCHEMOR,INE0DNW01011,Listed,24-Dec-2020,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
536,FCL,FCL,INE045J01026,Listed,15-Jan-2015,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
537,FCONSUMER,FCONSUMER,INE220J01025,Listed,04-Jul-2013,Diversified Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
538,FCSSOFT,FCSSOFT,INE512B01022,Listed,21-Sep-2005,IT Enabled Services,NIFTY IT                                          ,Information Technology,Information Technology,IT - Services
539,FDC,FDC,INE258B01022,Listed,07-Aug-1997,Pharmaceuticals,NIFTY PHARMA                                      ,Healthcare,Healthcare,Pharmaceuticals & Biotechnology
540,FEDERALBNK,FEDERALBNK,INE171A01029,Listed,08-Feb-1995,Private Sector Bank,NIFTY BANK                                        ,Financial Services,Financial Services,Banks
541,FEL,FEL,INE623B01027,Listed,05-Nov-2001,Diversified Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
542,FELDVR,FELDVR,IN9623B01058,Listed,13-Feb-2009,Diversified Retail,NIFTY 500,Consumer Discretionary,Consumer Services,Retailing
543,FELIX,FELIX,INE901X01013,Listed,05-Dec-2017,Water Supply & Management,NA,Utilities,Utilities,Other Utilities
544,FIBERWEB,FIBERWEB,INE296C01020,Listed,16-Feb-2022,Other Textile Products,NA,Consumer Discretionary,Textiles,Textiles & Apparels
545,FIDEL,FIDEL,INE0LQQ01019,Listed,10-Jun-2022,NA,NA,,,
546,FIEMIND,FIEMIND,INE737H01014,Listed,19-Oct-2006,Auto Components & Equipments,NIFTY AUTO                                        ,Consumer Discretionary,Automobile and Auto Components,Auto Components
547,FILATEX,FILATEX,INE816B01027,Listed,29-Aug-2011,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
548,FINCABLES,FINCABLES,INE235A01022,Listed,15-Feb-1995,Cables - Electricals,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
549,FINEORG,FINEORG,INE686Y01026,Listed,02-Jul-2018,Specialty Chemicals,NIFTY 500                                         ,Commodities,Chemicals,Chemicals & Petrochemicals
550,FINOPB,FINOPB,INE02NC01014,Listed,12-Nov-2021,Other Bank,NA,Financial Services,Financial Services,Banks
551,FINPIPE,FINPIPE,INE183A01024,Listed,08-Feb-1995,Plastic Products - Industrial,NIFTY 500                                         ,Industrials,Capital Goods,Industrial Products
552,FLEXITUFF,FLEXITUFF,INE060J01017,Listed,19-Oct-2011,Other Textile Products,NIFTY 500                                         ,Consumer Discretionary,Textiles,Textiles & Apparels
553,FLFL,FLFL,INE452O01016,Listed,01-Oct-2013,Diversified Retail,NIFTY 500                                         ,Consumer Discretionary,Consumer Services,Retailing
554,FLUOROCHEM,FLUOROCHEM,INE09N301011,Listed,16-Oct-2019,Specialty Chemicals,NA,Commodities,Chemicals,Chemicals & Petrochemicals
